sim month LIBOR_1MO
500 0 0.154100
500 1 0.240437
500 2 0.286579
500 3 0.266965
500 4 0.249286
500 5 0.242536
500 6 0.257476
500 7 0.274463
500 8 0.286671
500 9 0.302785
500 10 0.330198
500 11 0.368561
500 12 0.413835
500 13 0.477572
500 14 0.545549
500 15 0.603775
500 16 0.678653
500 17 0.755977
500 18 0.845735
500 19 0.930255
500 20 1.022947
500 21 1.132342
500 22 1.226031
500 23 1.337725
500 24 1.421578
500 25 1.524328
500 26 1.611101
500 27 1.701945
500 28 1.793158
500 29 1.893739
500 30 1.981142
500 31 2.075033
500 32 2.160542
500 33 2.235037
500 34 2.312459
500 35 2.366128
500 36 2.422133
500 37 2.495455
500 38 2.556003
500 39 2.610648
500 40 2.670941
500 41 2.733549
500 42 2.789501
500 43 2.844647
500 44 2.894638
500 45 2.945437
500 46 3.007181
500 47 3.065592
500 48 3.116391
500 49 3.175498
500 50 3.226353
500 51 3.268878
500 52 3.324264
500 53 3.367732
500 54 3.400250
500 55 3.425601
500 56 3.458438
500 57 3.496039
500 58 3.529288
500 59 3.557160
500 60 3.582818
500 61 3.595696
500 62 3.615859
500 63 3.644204
500 64 3.673587
500 65 3.701385
500 66 3.731989
500 67 3.759130
500 68 3.790098
500 69 3.809081
500 70 3.839270
500 71 3.865629
500 72 3.894568
500 73 3.922214
500 74 3.952965
500 75 3.963498
500 76 3.988808
500 77 4.018124
500 78 4.027179
500 79 4.039356
500 80 4.053116
500 81 4.070002
500 82 4.082637
500 83 4.090338
500 84 4.084805
500 85 4.095108
500 86 4.102609
500 87 4.117176
500 88 4.139277
500 89 4.156496
500 90 4.174226
500 91 4.198952
500 92 4.217609
500 93 4.239521
500 94 4.260352
500 95 4.274389
500 96 4.293444
500 97 4.321215
500 98 4.349780
500 99 4.366314
500 100 4.391027
500 101 4.402444
500 102 4.417346
500 103 4.429823
500 104 4.441565
500 105 4.451327
500 106 4.456503
500 107 4.464276
500 108 4.474490
500 109 4.489614
500 110 4.499304
500 111 4.507680
500 112 4.519682
500 113 4.530716
500 114 4.549262
500 115 4.562161
500 116 4.576456
500 117 4.584549
500 118 4.598283
500 119 4.614330
500 120 4.633223
500 121 4.645916
500 122 4.660546
500 123 4.670505
500 124 4.682125
500 125 4.685659
500 126 4.684013
500 127 4.701128
500 128 4.713001
500 129 4.726238
500 130 4.734258
500 131 4.747231
500 132 4.742282
500 133 4.759040
500 134 4.772960
500 135 4.784668
500 136 4.784907
500 137 4.798747
500 138 4.806773
500 139 4.809409
500 140 4.807999
500 141 4.819097
500 142 4.829421
500 143 4.838918
500 144 4.839314
500 145 4.845635
500 146 4.846909
500 147 4.855524
500 148 4.860758
500 149 4.864130
500 150 4.867600
500 151 4.872995
500 152 4.872152
500 153 4.876770
500 154 4.879350
500 155 4.879526
500 156 4.885741
500 157 4.892006
500 158 4.888123
500 159 4.883643
500 160 4.880848
500 161 4.894689
500 162 4.898091
500 163 4.892615
500 164 4.889290
500 165 4.886023
500 166 4.885920
500 167 4.883375
500 168 4.886963
500 169 4.884938
500 170 4.887352
500 171 4.882902
500 172 4.883171
500 173 4.877369
500 174 4.879913
500 175 4.880939
500 176 4.886121
500 177 4.888932
500 178 4.889196
500 179 4.901249
500 180 4.904449
500 181 4.905752
500 182 4.913704
500 183 4.911504
500 184 4.906375
500 185 4.911665
500 186 4.912401
500 187 4.908452
500 188 4.897713
500 189 4.898496
500 190 4.884168
500 191 4.875237
500 192 4.869408
500 193 4.863799
500 194 4.874075
500 195 4.868367
500 196 4.867095
500 197 4.872792
500 198 4.873638
500 199 4.876734
500 200 4.873895
500 201 4.871532
500 202 4.867438
500 203 4.874434
500 204 4.882051
500 205 4.881958
500 206 4.884820
500 207 4.890045
500 208 4.900702
500 209 4.913644
500 210 4.917039
500 211 4.931600
500 212 4.936620
500 213 4.921361
500 214 4.935162
500 215 4.939904
500 216 4.945359
500 217 4.946481
500 218 4.946731
500 219 4.947812
500 220 4.951426
500 221 4.952199
500 222 4.955771
500 223 4.954738
500 224 4.958203
500 225 4.950125
500 226 4.955802
500 227 4.964986
500 228 4.956616
500 229 4.960737
500 230 4.966201
500 231 4.976188
500 232 4.987709
500 233 4.992715
500 234 4.995261
500 235 4.995487
500 236 4.999113
500 237 5.016857
500 238 5.025177
500 239 5.035271
500 240 5.046762
500 241 5.047993
500 242 5.046543
500 243 5.046186
500 244 5.048043
500 245 5.044277
500 246 5.042867
500 247 5.034717
500 248 5.027638
500 249 5.017683
500 250 5.024885
500 251 5.015926
500 252 5.009268
500 253 5.002605
500 254 4.982327
500 255 4.978362
500 256 4.981519
500 257 4.981625
500 258 4.969276
500 259 4.957589
500 260 4.955694
500 261 4.952236
500 262 4.944861
500 263 4.941354
500 264 4.933261
500 265 4.929738
500 266 4.932421
500 267 4.946521
500 268 4.942915
500 269 4.940538
500 270 4.953249
500 271 4.959329
500 272 4.959567
500 273 4.964187
500 274 4.964491
500 275 4.965054
500 276 4.964668
500 277 4.970665
500 278 4.988784
500 279 4.990673
500 280 5.010061
500 281 5.023962
500 282 5.036636
500 283 5.045681
500 284 5.058606
500 285 5.070796
500 286 5.079723
500 287 5.080643
500 288 5.094493
500 289 5.093748
500 290 5.108219
500 291 5.116293
500 292 5.125922
500 293 5.136139
500 294 5.144617
500 295 5.163133
500 296 5.176258
500 297 5.196383
500 298 5.213887
500 299 5.236368
500 300 5.248635
500 301 5.252397
500 302 5.271713
500 303 5.280052
500 304 5.297479
500 305 5.303368
500 306 5.309464
500 307 5.318155
500 308 5.330949
500 309 5.347307
500 310 5.362742
500 311 5.372419
500 312 5.377205
500 313 5.390867
500 314 5.401109
500 315 5.406177
500 316 5.408140
500 317 5.424206
500 318 5.425489
500 319 5.432041
500 320 5.433977
500 321 5.439831
500 322 5.438302
500 323 5.449037
500 324 5.460009
500 325 5.463292
500 326 5.466026
500 327 5.465256
500 328 5.483071
500 329 5.480088
500 330 5.493475
500 331 5.494992
500 332 5.503075
500 333 5.515515
500 334 5.525137
500 335 5.531303
500 336 5.536322
500 337 5.539803
500 338 5.534989
500 339 5.536864
500 340 5.551017
500 341 5.557953
500 342 5.567627
500 343 5.573926
500 344 5.577187
500 345 5.575965
500 346 5.579259
500 347 5.589368
500 348 5.597477
500 349 5.599061
500 350 5.613175
500 351 5.619317
500 352 5.641945
500 353 5.655310
500 354 5.660106
500 355 5.661547
500 356 5.663653
500 357 5.665462
500 358 5.666336
500 359 5.667375
500 360 5.677234
501 0 0.154100
501 1 0.243753
501 2 0.287331
501 3 0.264622
501 4 0.250544
501 5 0.243680
501 6 0.265650
501 7 0.272099
501 8 0.289083
501 9 0.282793
501 10 0.309561
501 11 0.345801
501 12 0.400594
501 13 0.460922
501 14 0.524133
501 15 0.587136
501 16 0.651398
501 17 0.715186
501 18 0.792886
501 19 0.882129
501 20 0.960928
501 21 1.047643
501 22 1.139476
501 23 1.223990
501 24 1.318347
501 25 1.410980
501 26 1.503627
501 27 1.588004
501 28 1.678403
501 29 1.784546
501 30 1.871909
501 31 1.946109
501 32 2.029009
501 33 2.102625
501 34 2.176341
501 35 2.240431
501 36 2.288549
501 37 2.347309
501 38 2.410439
501 39 2.457680
501 40 2.493918
501 41 2.539809
501 42 2.591407
501 43 2.640612
501 44 2.679867
501 45 2.734523
501 46 2.793493
501 47 2.835679
501 48 2.911221
501 49 2.958993
501 50 3.022893
501 51 3.068946
501 52 3.122787
501 53 3.174528
501 54 3.218781
501 55 3.261526
501 56 3.307793
501 57 3.347481
501 58 3.389769
501 59 3.428291
501 60 3.456823
501 61 3.479969
501 62 3.509582
501 63 3.513994
501 64 3.533939
501 65 3.554909
501 66 3.588667
501 67 3.624543
501 68 3.656184
501 69 3.692420
501 70 3.727626
501 71 3.762314
501 72 3.799663
501 73 3.836216
501 74 3.873853
501 75 3.912664
501 76 3.948777
501 77 3.986967
501 78 4.016605
501 79 4.025883
501 80 4.054768
501 81 4.073221
501 82 4.087779
501 83 4.104743
501 84 4.113261
501 85 4.116668
501 86 4.135640
501 87 4.160067
501 88 4.171305
501 89 4.178692
501 90 4.199055
501 91 4.229065
501 92 4.251791
501 93 4.267618
501 94 4.277597
501 95 4.292351
501 96 4.296373
501 97 4.324978
501 98 4.344858
501 99 4.362337
501 100 4.377443
501 101 4.378651
501 102 4.407379
501 103 4.420994
501 104 4.432728
501 105 4.446807
501 106 4.454207
501 107 4.465142
501 108 4.459380
501 109 4.450148
501 110 4.452931
501 111 4.453121
501 112 4.464619
501 113 4.462022
501 114 4.468353
501 115 4.469911
501 116 4.475871
501 117 4.466842
501 118 4.468440
501 119 4.466470
501 120 4.478154
501 121 4.479937
501 122 4.487486
501 123 4.501407
501 124 4.511100
501 125 4.509368
501 126 4.513533
501 127 4.518931
501 128 4.516363
501 129 4.527062
501 130 4.530073
501 131 4.564195
501 132 4.576328
501 133 4.580342
501 134 4.593655
501 135 4.611623
501 136 4.619899
501 137 4.647005
501 138 4.653198
501 139 4.657223
501 140 4.653759
501 141 4.667178
501 142 4.672774
501 143 4.673498
501 144 4.670148
501 145 4.668509
501 146 4.685177
501 147 4.682671
501 148 4.692249
501 149 4.691817
501 150 4.707566
501 151 4.707314
501 152 4.696589
501 153 4.700791
501 154 4.706389
501 155 4.698990
501 156 4.704829
501 157 4.714406
501 158 4.703057
501 159 4.717642
501 160 4.725453
501 161 4.748085
501 162 4.757687
501 163 4.763393
501 164 4.763321
501 165 4.773438
501 166 4.773677
501 167 4.776390
501 168 4.777003
501 169 4.773925
501 170 4.786438
501 171 4.787176
501 172 4.783220
501 173 4.790965
501 174 4.794492
501 175 4.800338
501 176 4.807305
501 177 4.804592
501 178 4.809935
501 179 4.813975
501 180 4.810590
501 181 4.815376
501 182 4.823335
501 183 4.825182
501 184 4.838582
501 185 4.832934
501 186 4.839360
501 187 4.841944
501 188 4.853100
501 189 4.854544
501 190 4.861420
501 191 4.863520
501 192 4.858684
501 193 4.855493
501 194 4.862028
501 195 4.846111
501 196 4.848434
501 197 4.852448
501 198 4.857708
501 199 4.856638
501 200 4.862537
501 201 4.861278
501 202 4.878796
501 203 4.888959
501 204 4.890158
501 205 4.894401
501 206 4.900334
501 207 4.904916
501 208 4.906359
501 209 4.910932
501 210 4.915638
501 211 4.912165
501 212 4.905240
501 213 4.900507
