sim month Balance SchedPrincipal UnschedPrincipal Liquidated
0 0 29040913330.15 0.00 0.00 0.00
0 1 28872982258.95 47655167.23 120275903.98 369246.90
0 2 28693387025.29 47600831.34 131994402.31 384065.51
0 3 28496117981.95 47525978.71 149743064.63 409405.00
0 4 28285674524.64 47420339.09 163023118.23 436465.84
0 5 28071163412.03 47291006.39 167220106.21 465523.78
0 6 27866998232.01 47152943.68 157012236.35 500604.81
0 7 27683473259.29 47030365.99 136494606.73 538749.60
0 8 27502256848.36 46940961.03 134275449.89 576998.54
0 9 27347624307.21 46853901.20 107778639.96 658707.98
0 10 27192449900.98 46810844.30 108363561.92 745553.73
0 11 27069040656.70 46765767.57 76643476.72 838695.79
0 12 26926868607.28 46774533.58 95397515.84 903386.59
0 13 26754806639.79 46750128.55 125311838.94 972484.60
0 14 26585496600.68 46672667.51 122637371.60 1046400.16
0 15 26411606450.49 46598649.46 127291500.73 1102624.16
0 16 26220649767.20 46515181.81 144441501.49 1160386.82
0 17 26034597609.15 46400034.99 139652123.06 1220783.59
0 18 25858906199.74 46291861.64 129399547.77 1264245.80
0 19 25701563794.75 46200487.54 111141917.46 1307914.33
0 20 25545941513.61 46140519.52 109481761.61 1343027.24
0 21 25401480503.56 46082538.76 98378471.29 1303653.22
0 22 25254368447.88 46043350.97 101068704.71 1378410.62
0 23 25137651637.58 45998556.09 70718254.22 1302971.52
0 24 24993597858.62 46008152.99 98045625.96 1300939.07
0 25 24814256306.36 45966893.31 133374658.95 1297377.89
0 26 24645900526.32 45859369.81 122496410.23 1276583.62
0 27 24455892390.33 45770538.72 144237597.27 1248087.67
0 28 24247690836.79 45639729.60 162561823.94 1232684.78
0 29 24050224519.98 45472810.18 151993506.62 1234868.53
0 30 23828895346.22 45323795.42 176005378.34 1244809.09
0 31 23639557243.55 45127441.84 144210660.83 1257892.81
0 32 23454352111.14 44989358.39 140215774.02 1276027.17
0 33 23241733382.96 44857059.25 167761668.94 1339467.75
0 34 22984966096.82 44670085.07 212097201.06 1405496.53
0 35 22685092171.31 44395314.67 255478610.83 1469388.68
0 36 22383051629.77 44033529.50 258007012.05 1502269.88
