M1 writedown results for path 499					Path 498	Path 498 GROSS_WRITEDOWN	w/ SHOW_CASHFLOWS_MODE	w/ USE_DELINQ_HIST
	C++	Java	Java w/ Libor_1MO		Java			
1	0	0	0		0	0	0	0
2	0	0	0		0	0	0	0
3	0	0	0		0	0	0	0
4	0	0	0		0	0	0	0
5	0	0	0		0	0	0	0
6	0	0	0		0	0	0	0
7	0	0	0		0	0	0	0
8	0	0	0		0	0	0	0
9	0	0	0		0	0	0	0
10	0	0	0		0	0	0	0
11	0	0	0		0	0	0	0
12	0	0	0		0	0	0	0
13	0	0	0		0	0	0	0
14	0	0	0		0	0	0	0
15	0	0	0		0	0	0	0
16	0	0	0		0	0	0	0
17	0	0	0		0	0	0	0
18	0	0	0		0	0	0	0
19	0	0	0		0	0	0	0
20	0	0	0		0	0	0	0
21	0	0	0		0	0	0	0
22	0	0	0		0	0	0	0
23	0	0	0		0	0	0	0
24	0	0	0		0	0	0	0
25	0	0	0		0	0	0	0
26	0	0	0		0	0	0	0
27	0	0	0		0	0	0	0
28	0	0	0		0	0	0	0
29	0	0	0		0	0	0	0
30	0	0	0		0	0	0	0
31	0	0	0		0	0	0	0
32	0	0	0		0	0	0	0
33	0	0	0		0	0	0	0
34	0	0	0		0	0	0	0
35	0	0	0		0	0	0	0
36	0	0	0		0	0	0	0
37	0	0	0		0	0	0	0
38	0	0	0		0	0	0	0
39	0	0	0		0	0	0	0
40	0	0	0		0	0	0	0
41	0	0	0		0	0	0	0
42	0	0	0		0	0	0	0
43	0	0	0		0	0	0	0
44	0	0	0		0	0	0	0
45	0	0	0		0	0	0	0
46	0	0	0		0	0	0	0
47	0	0	0		0	0	0	0
48	0	0	0		0	0	0	0
49	0	0	0		0	0	0	0
50	0	2670269	2670269		"11,669,904"	"11,669,904.13"	"11,669,904.13"	"11,669,904.13"
51	0	11677523	11677523		"11,907,495"	"11,907,495.48"	"11,907,495.48"	"11,907,495.48"
52	0	10546918	10546918		"10,757,036"	"10,757,036.15"	"10,757,036.15"	"10,757,036.15"
53	0	9482951	9482951		"9,671,413"	"9,671,412.50"	"9,671,412.50"	"9,671,412.50"
54	0	9775398	9775398		"9,969,695"	"9,969,695.36"	"9,969,695.36"	"9,969,695.36"
55	9538514	9933174	9933174		"10,132,373"	"10,132,372.86"	"10,132,372.86"	"10,132,372.86"
56	10462462	9874900	9874900		"10,076,905"	"10,076,904.93"	"10,076,904.93"	"10,076,904.93"
57	9406884	9976996	9976996		"10,185,339"	"10,185,339.28"	"10,185,339.28"	"10,185,339.28"
58	9696864	9602317	9602317		"9,807,590"	"9,807,590.37"	"9,807,590.37"	"9,807,590.37"
59	9853253	9238911	9238911		"9,441,147"	"9,441,147.08"	"9,441,147.08"	"9,441,147.08"
60	9795367	10045842	10045842		"10,271,777"	"10,271,777.03"	"10,271,777.03"	"10,271,777.03"
61	9896519	10516233	10516233		"10,760,088"	"10,760,088.15"	"10,760,088.15"	"10,760,088.15"
62	9524780	10995094	10995094		"11,257,235"	"11,257,235.09"	"11,257,235.09"	"11,257,235.09"
63	9164153	11528218	11528218		"11,810,959"	"11,810,959.03"	"11,810,959.03"	"11,810,959.03"
64	9964438	12404986	12404986		"12,717,533"	"12,717,533.16"	"12,717,533.16"	"12,717,533.16"
65	10430916	13337417	13337417		"13,682,662"	"13,682,661.54"	"13,682,661.54"	"13,682,661.54"
66	10905770	13112601	13112601		"13,461,603"	"13,461,602.58"	"13,461,602.58"	"13,461,602.58"
67	11434424	12320922	12320922		"12,658,457"	"12,658,457.36"	"12,658,457.36"	"12,658,457.36"
68	12303911	4547215	4547215		"11,901,339"	"11,901,339.16"	"11,901,339.16"	"11,901,339.16"
69	13228573				"11,043,483"	"11,043,482.90"	"11,043,482.90"	"11,043,482.90"
70	13005442				"10,102,543"	"10,102,543.25"	"10,102,543.25"	"10,102,543.25"
71	12220102				"2,739,908"	"2,739,907.56"	"2,739,907.56"	"2,739,907.56"
72	5511039							
								
Accum.	" 186,343,410 "	" 191,587,884 "	" 191,587,884 "		"236,026,485"			
