sim month Balance Principal SchedPrincipal UnschedPrincipal Interest Writedown
0 0 375000000.00 0.00 0.00 0.00 0.00 0.00
0 1 375000000.00 0.00 0.00 0.00 1328687.50 0.00
0 2 375000000.00 0.00 0.00 0.00 1470643.23 0.00
0 3 375000000.00 0.00 0.00 0.00 1546300.00 0.00
0 4 375000000.00 0.00 0.00 0.00 1415381.25 0.00
0 5 375000000.00 0.00 0.00 0.00 1465656.25 0.00
0 6 375000000.00 0.00 0.00 0.00 1497203.13 0.00
0 7 375000000.00 0.00 0.00 0.00 1485739.58 0.00
0 8 375000000.00 0.00 0.00 0.00 1546466.67 0.00
0 9 375000000.00 0.00 0.00 0.00 1370582.29 0.00
0 10 375000000.00 0.00 0.00 0.00 1510152.08 0.00
0 11 375000000.00 0.00 0.00 0.00 1540829.17 0.00
0 12 375000000.00 0.00 0.00 0.00 1482812.50 0.00
0 13 375000000.00 0.00 0.00 0.00 1390754.17 0.00
0 14 375000000.00 0.00 0.00 0.00 1696165.63 0.00
0 15 375000000.00 0.00 0.00 0.00 1510477.08 0.00
0 16 375000000.00 0.00 0.00 0.00 1644406.25 0.00
0 17 375000000.00 0.00 0.00 0.00 1785133.33 0.00
0 18 375000000.00 0.00 0.00 0.00 1701393.75 0.00
0 19 375000000.00 0.00 0.00 0.00 1869106.25 0.00
0 20 375000000.00 0.00 0.00 0.00 1914863.54 0.00
0 21 375000000.00 0.00 0.00 0.00 1882250.00 0.00
0 22 375000000.00 0.00 0.00 0.00 2077315.63 0.00
0 23 375000000.00 0.00 0.00 0.00 1804191.67 0.00
0 24 375000000.00 0.00 0.00 0.00 1952967.71 0.00
0 25 375000000.00 0.00 0.00 0.00 1871225.00 0.00
0 26 375000000.00 0.00 0.00 0.00 2008509.38 0.00
0 27 375000000.00 0.00 0.00 0.00 1971906.25 0.00
0 28 375000000.00 0.00 0.00 0.00 2227500.00 0.00
0 29 375000000.00 0.00 0.00 0.00 1899275.00 0.00
0 30 375000000.00 0.00 0.00 0.00 2088237.50 0.00
0 31 375000000.00 0.00 0.00 0.00 2145166.67 0.00
