sim month Balance Principal SchedPrincipal UnschedPrincipal Interest Writedown
0 0 20667705.00 0.00 0.00 0.00 0.00 0.00
0 1 20667705.00 0.00 0.00 0.00 0.00 0.00
0 2 20667705.00 0.00 0.00 0.00 0.00 0.00
0 3 20667705.00 0.00 0.00 0.00 0.00 0.00
0 4 20667705.00 0.00 0.00 0.00 0.00 0.00
0 5 20667705.00 0.00 0.00 0.00 0.00 0.00
0 6 20667705.00 0.00 0.00 0.00 0.00 0.00
0 7 20667705.00 0.00 0.00 0.00 0.00 0.00
0 8 20667705.00 0.00 0.00 0.00 0.00 0.00
0 9 20667705.00 0.00 0.00 0.00 0.00 0.00
0 10 20667705.00 0.00 0.00 0.00 0.00 0.00
0 11 20667705.00 0.00 0.00 0.00 0.00 0.00
0 12 20667705.00 0.00 0.00 0.00 0.00 0.00
0 13 20667705.00 0.00 0.00 0.00 0.00 0.00
0 14 20667705.00 0.00 0.00 0.00 0.00 0.00
0 15 20667705.00 0.00 0.00 0.00 0.00 0.00
0 16 20667705.00 0.00 0.00 0.00 0.00 0.00
0 17 20667705.00 0.00 0.00 0.00 0.00 0.00
0 18 20667705.00 0.00 0.00 0.00 0.00 0.00
0 19 20667705.00 0.00 0.00 0.00 0.00 0.00
0 20 20667705.00 0.00 0.00 0.00 0.00 0.00
0 21 20667705.00 0.00 0.00 0.00 0.00 0.00
0 22 20667705.00 0.00 0.00 0.00 0.00 0.00
0 23 20667705.00 0.00 0.00 0.00 0.00 0.00
0 24 20667705.00 0.00 0.00 0.00 0.00 0.00
0 25 20667705.00 0.00 0.00 0.00 0.00 0.00
0 26 20667705.00 0.00 0.00 0.00 0.00 0.00
0 27 20667705.00 0.00 0.00 0.00 0.00 0.00
0 28 20667705.00 0.00 0.00 0.00 0.00 0.00
0 29 20667705.00 0.00 0.00 0.00 0.00 0.00
0 30 20667705.00 0.00 0.00 0.00 0.00 0.00
0 31 20667705.00 0.00 0.00 0.00 0.00 0.00
0 32 20667705.00 0.00 0.00 0.00 0.00 0.00
0 33 20667705.00 0.00 0.00 0.00 0.00 0.00
0 34 20667705.00 0.00 0.00 0.00 0.00 0.00
0 35 20667705.00 0.00 0.00 0.00 0.00 0.00
0 36 20667705.00 0.00 0.00 0.00 0.00 0.00
0 37 20667705.00 0.00 0.00 0.00 0.00 0.00
0 38 20667705.00 0.00 0.00 0.00 0.00 0.00
0 39 20667705.00 0.00 0.00 0.00 0.00 0.00
0 40 20667705.00 0.00 0.00 0.00 0.00 0.00
0 41 20667705.00 0.00 0.00 0.00 0.00 0.00
0 42 20667705.00 0.00 0.00 0.00 0.00 0.00
0 43 20667705.00 0.00 0.00 0.00 0.00 0.00
0 44 20667705.00 0.00 0.00 0.00 0.00 0.00
0 45 20667705.00 0.00 0.00 0.00 0.00 0.00
0 46 20667705.00 0.00 0.00 0.00 0.00 0.00
0 47 20667705.00 0.00 0.00 0.00 0.00 0.00
0 48 20667705.00 0.00 0.00 0.00 0.00 0.00
0 49 20667705.00 0.00 0.00 0.00 0.00 0.00
0 50 20667705.00 0.00 0.00 0.00 0.00 0.00
0 51 20667705.00 0.00 0.00 0.00 0.00 0.00
0 52 20667705.00 0.00 0.00 0.00 0.00 0.00
0 53 20667705.00 0.00 0.00 0.00 0.00 0.00
0 54 20667705.00 0.00 0.00 0.00 0.00 0.00
0 55 20667705.00 0.00 0.00 0.00 0.00 0.00
0 56 20667705.00 0.00 0.00 0.00 0.00 0.00
0 57 20667705.00 0.00 0.00 0.00 0.00 0.00
0 58 20667705.00 0.00 0.00 0.00 0.00 0.00
0 59 20667705.00 0.00 0.00 0.00 0.00 0.00
0 60 20667705.00 0.00 0.00 0.00 0.00 0.00
0 61 20667705.00 0.00 0.00 0.00 0.00 0.00
0 62 20667705.00 0.00 0.00 0.00 0.00 0.00
0 63 20587167.53 80537.47 18589.19 61948.28 0.00 0.00
0 64 20325478.21 261689.32 55178.37 206510.95 0.00 0.00
0 65 20074169.97 251308.24 54867.08 196441.16 0.00 0.00
0 66 19803897.84 270272.13 54575.63 215696.49 0.00 0.00
0 67 19533442.49 270455.35 54237.68 216217.66 0.00 0.00
0 68 19308704.08 224738.41 53894.66 170843.75 0.00 0.00
0 69 19086077.22 222626.86 53651.45 168975.41 0.00 0.00
0 70 18895924.44 190152.78 53409.45 136743.33 0.00 0.00
0 71 18715456.18 180468.25 53238.97 127229.29 0.00 0.00
0 72 18563598.76 151857.43 53088.20 98769.23 0.00 0.00
0 73 18396668.69 166930.07 53001.81 113928.26 0.00 0.00
0 74 18190424.66 206244.03 52878.50 153365.53 0.00 0.00
0 75 17987186.49 203238.17 52660.43 150577.74 0.00 0.00
0 76 17780548.98 206637.50 52446.72 154190.78 0.00 0.00
0 77 17554881.70 225667.28 52222.48 173444.80 0.00 0.00
0 78 17334077.54 220804.17 51950.00 168854.16 0.00 0.00
0 79 17125230.53 208847.00 51686.13 157160.88 0.00 0.00
0 80 16943021.80 182208.74 51448.16 130760.58 0.00 0.00
0 81 16766090.64 176931.15 51272.32 125658.84 0.00 0.00
0 82 16603631.71 162458.93 51106.99 111351.94 0.00 0.00
0 83 16442452.67 161179.04 50974.48 110204.56 0.00 0.00
0 84 16313665.81 128786.86 50842.62 77944.25 0.00 0.00
0 85 16159180.26 154485.55 50789.16 103696.39 0.00 0.00
0 86 15965161.39 194018.87 50670.19 143348.68 0.00 0.00
0 87 15776472.33 188689.05 50449.74 138239.31 0.00 0.00
0 88 15582762.02 193710.31 50239.54 143470.77 0.00 0.00
0 89 15373297.00 209465.03 50012.67 159452.36 0.00 0.00
0 90 15178239.53 195057.47 49741.38 145316.09 0.00 0.00
0 91 14984288.21 193951.32 49502.99 144448.32 0.00 0.00
0 92 14820285.43 164002.78 49264.07 114738.72 0.00 0.00
0 93 14666249.07 154036.36 49099.80 104936.56 0.00 0.00
0 94 14517256.70 148992.37 48959.14 100033.22 0.00 0.00
0 95 14372073.14 145183.56 48829.67 96353.89 0.00 0.00
0 96 14255428.14 116645.00 48708.29 67936.72 0.00 0.00
0 97 14119358.47 136069.67 48660.96 87408.71 0.00 0.00
0 98 13949827.44 169531.03 48560.04 120970.99 0.00 0.00
0 99 13791576.50 158250.94 48366.75 109884.20 0.00 0.00
0 100 13618684.08 172892.42 48201.12 124691.30 0.00 0.00
0 101 13437712.49 180971.59 47993.39 132978.19 0.00 0.00
0 102 13276054.17 161658.32 47760.87 113897.45 0.00 0.00
0 103 13104774.21 171279.96 47578.80 123701.17 0.00 0.00
0 104 12963644.63 141129.58 47367.45 93762.13 0.00 0.00
0 105 12834222.17 129422.46 47237.35 82185.12 0.00 0.00
0 106 12711854.10 122368.07 47138.07 75229.99 0.00 0.00
0 107 12598277.04 113577.06 47056.67 66520.39 0.00 0.00
0 108 12504524.17 93752.87 46998.30 46754.56 0.00 0.00
