sim TrigNum Period Date Target Actual Status
500 1 2 20140425 0.030000 0.030000 PASS
500 1 3 20140525 0.030000 0.029999 FAIL
500 1 4 20140625 0.030000 0.030137 PASS
500 1 5 20140725 0.030000 0.030136 PASS
500 1 6 20140825 0.030000 0.030135 PASS
500 1 7 20140925 0.030000 0.030134 PASS
500 1 8 20141025 0.030000 0.030132 PASS
500 1 9 20141125 0.030000 0.030131 PASS
500 1 10 20141225 0.030000 0.030130 PASS
500 1 11 20150125 0.030000 0.030128 PASS
500 1 12 20150225 0.030000 0.030127 PASS
500 1 13 20150325 0.030000 0.030125 PASS
500 1 14 20150425 0.030000 0.030123 PASS
500 1 15 20150525 0.030000 0.030121 PASS
500 1 16 20150625 0.030000 0.030119 PASS
500 1 17 20150725 0.030000 0.030116 PASS
500 1 18 20150825 0.030000 0.030114 PASS
500 1 19 20150925 0.030000 0.030112 PASS
500 1 20 20151025 0.030000 0.030109 PASS
500 1 21 20151125 0.030000 0.030106 PASS
500 1 22 20151225 0.030000 0.030103 PASS
500 1 23 20160125 0.030000 0.030100 PASS
500 1 24 20160225 0.030000 0.030097 PASS
500 1 25 20160325 0.030000 0.030094 PASS
500 1 26 20160425 0.030000 0.030091 PASS
500 1 27 20160525 0.030000 0.030088 PASS
500 1 28 20160625 0.030000 0.030085 PASS
500 1 29 20160725 0.030000 0.030081 PASS
500 1 30 20160825 0.030000 0.030078 PASS
500 1 31 20160925 0.030000 0.030074 PASS
500 1 32 20161025 0.030000 0.030071 PASS
500 1 33 20161125 0.030000 0.030067 PASS
500 1 34 20161225 0.030000 0.030063 PASS
500 1 35 20170125 0.030000 0.030059 PASS
500 1 36 20170225 0.030000 0.030055 PASS
500 1 37 20170325 0.030000 0.030051 PASS
500 1 38 20170425 0.030000 0.030046 PASS
500 1 39 20170525 0.030000 0.030042 PASS
500 1 40 20170625 0.030000 0.030037 PASS
500 1 41 20170725 0.030000 0.030032 PASS
500 1 42 20170825 0.030000 0.030027 PASS
500 1 43 20170925 0.030000 0.030022 PASS
500 1 44 20171025 0.030000 0.030016 PASS
500 1 45 20171125 0.030000 0.030011 PASS
500 1 46 20171225 0.030000 0.030005 PASS
500 1 47 20180125 0.030000 0.029999 FAIL
500 1 48 20180225 0.030000 0.030186 PASS
500 1 49 20180325 0.030000 0.030180 PASS
500 1 50 20180425 0.030000 0.030174 PASS
500 1 51 20180525 0.030000 0.030167 PASS
500 1 52 20180625 0.030000 0.030160 PASS
500 1 53 20180725 0.030000 0.030152 PASS
500 1 54 20180825 0.030000 0.030145 PASS
500 1 55 20180925 0.030000 0.030137 PASS
500 1 56 20181025 0.030000 0.030129 PASS
500 1 57 20181125 0.030000 0.030121 PASS
500 1 58 20181225 0.030000 0.030112 PASS
500 1 59 20190125 0.030000 0.030104 PASS
500 1 60 20190225 0.030000 0.030095 PASS
500 1 61 20190325 0.030000 0.030087 PASS
500 1 62 20190425 0.030000 0.030078 PASS
500 1 63 20190525 0.030000 0.030070 PASS
500 1 64 20190625 0.030000 0.030061 PASS
500 1 65 20190725 0.030000 0.030053 PASS
500 1 66 20190825 0.030000 0.030045 PASS
500 1 67 20190925 0.030000 0.030036 PASS
500 1 68 20191025 0.030000 0.030028 PASS
500 1 69 20191125 0.030000 0.030020 PASS
500 1 70 20191225 0.030000 0.030012 PASS
500 1 71 20200125 0.030000 0.030004 PASS
500 1 72 20200225 0.030000 0.029996 FAIL
500 1 73 20200325 0.030000 0.030137 PASS
500 1 74 20200425 0.030000 0.030129 PASS
500 1 75 20200525 0.030000 0.030122 PASS
500 1 76 20200625 0.030000 0.030114 PASS
500 1 77 20200725 0.030000 0.030106 PASS
500 1 78 20200825 0.030000 0.030098 PASS
500 1 79 20200925 0.030000 0.030090 PASS
