sim month CECoverage CEPremium
0 0 0.00 0.00
0 1 0.00 1808920.85
0 2 0.00 1996736.06
0 3 0.00 2108534.28
0 4 0.00 1936069.09
0 5 0.00 1996859.72
0 6 0.00 2020660.79
0 7 0.00 1989068.11
0 8 0.00 2067432.22
0 9 0.00 1807895.34
0 10 0.00 2006991.81
0 11 0.00 2055004.94
0 12 0.00 1965067.10
0 13 0.00 1839734.96
0 14 0.00 2261360.60
0 15 0.00 2012178.73
0 16 0.00 2214200.75
0 17 0.00 2402014.78
0 18 0.00 2305772.18
0 19 0.00 2533041.19
0 20 0.00 2592338.53
0 21 0.00 2540761.84
0 22 0.00 2787953.98
0 23 0.00 2419171.77
0 24 0.00 2589281.40
0 25 0.00 2480784.32
0 26 0.00 2648967.80
0 27 0.00 2589134.50
0 28 0.00 2919151.76
0 29 0.00 2471776.06
0 30 0.00 2691581.19
0 31 0.00 2741250.44
0 32 0.00 2472372.44
0 33 0.00 2588501.55
0 34 0.00 2607356.01
0 35 0.00 2254029.71
0 36 0.00 2521802.26
0 37 0.00 2131122.20
0 38 0.00 2165847.77
0 39 0.00 2140359.27
0 40 0.00 2275910.52
0 41 0.00 2026802.33
0 42 0.00 2153370.40
0 43 0.00 2136731.05
0 44 0.00 2040670.59
0 45 0.00 2182247.16
0 46 0.00 1906567.88
0 47 0.00 1982483.00
0 48 0.00 2151350.12
0 49 0.00 1898471.66
0 50 0.00 2009375.04
0 51 0.00 2014897.12
0 52 0.00 2068859.27
0 53 0.00 2010958.33
0 54 0.00 2168424.77
0 55 0.00 1944731.33
0 56 0.00 1972394.51
0 57 0.00 2094402.81
0 58 0.00 1951787.62
0 59 0.00 1964119.08
0 60 0.00 2050920.05
0 61 0.00 1869286.39
0 62 0.00 2043057.43
0 63 0.00 2202975.50
0 64 0.00 1904000.96
0 65 0.00 2026362.38
0 66 0.00 2126137.15
0 67 0.00 1967223.49
0 68 0.00 1980642.39
0 69 0.00 2013218.38
0 70 0.00 2032032.19
0 71 0.00 2115160.45
0 72 0.00 1896707.22
0 73 0.00 1895853.89
0 74 0.00 2150151.70
0 75 0.00 1887340.19
0 76 0.00 2004418.13
0 77 0.00 2097431.39
0 78 0.00 1886814.47
0 79 0.00 2051076.61
0 80 0.00 2019825.57
0 81 0.00 1942639.95
0 82 0.00 2135192.05
0 83 0.00 1802086.74
0 84 0.00 1961130.68
0 85 0.00 1752036.19
0 86 0.00 1947223.59
0 87 0.00 1733983.13
0 88 0.00 1874265.80
0 89 0.00 1822633.83
0 90 0.00 1770096.57
0 91 0.00 1944065.06
0 92 0.00 1634589.42
0 93 0.00 1890225.47
0 94 0.00 1805372.82
0 95 0.00 1666705.62
0 96 0.00 1771509.11
0 97 0.00 1573833.00
0 98 0.00 1732458.10
0 99 0.00 1651915.38
0 100 0.00 1817664.77
0 101 0.00 1547718.28
0 102 0.00 1688164.67
0 103 0.00 1726960.01
0 104 0.00 1576413.52
0 105 0.00 1682087.79
0 106 0.00 1716290.80
0 107 0.00 1583946.46
0 108 0.00 1799695.09
0 109 0.00 1535536.61
0 110 0.00 1578741.47
0 111 0.00 1648871.98
0 112 0.00 1744011.53
0 113 0.00 1575279.63
0 114 0.00 1712471.16
0 115 0.00 1700985.35
0 116 0.00 1665307.90
0 117 0.00 1844221.35
0 118 0.00 1616748.85
0 119 0.00 1657147.88
1 0 0.00 0.00
1 1 0.00 1808920.85
1 2 0.00 1996736.06
1 3 0.00 2108534.28
1 4 0.00 1936069.09
1 5 0.00 1996859.72
1 6 0.00 2020660.79
1 7 0.00 1989068.11
1 8 0.00 2067432.22
1 9 0.00 1807895.34
1 10 0.00 2006991.81
1 11 0.00 2055004.94
1 12 0.00 1965067.10
1 13 0.00 1839734.96
1 14 0.00 2261360.60
1 15 0.00 2012178.73
1 16 0.00 2214200.75
1 17 0.00 2402014.78
1 18 0.00 2305772.18
1 19 0.00 2533041.19
1 20 0.00 2592338.53
1 21 0.00 2540761.84
1 22 0.00 2787953.98
1 23 0.00 2419171.77
1 24 0.00 2589281.40
1 25 0.00 2480784.32
1 26 0.00 2648967.80
1 27 0.00 2589134.50
1 28 0.00 2919151.76
1 29 0.00 2471776.06
1 30 0.00 2691581.19
1 31 0.00 2741250.44
1 32 0.00 2472372.44
1 33 0.00 2588501.55
1 34 0.00 2607356.01
1 35 0.00 2254029.71
1 36 0.00 2521802.26
1 37 0.00 2131122.20
1 38 0.00 2165847.77
1 39 0.00 2140359.27
1 40 0.00 2275910.52
1 41 0.00 2026802.33
1 42 0.00 2153370.40
1 43 0.00 2136731.05
1 44 0.00 2040670.59
1 45 0.00 2182247.16
1 46 0.00 1906567.88
1 47 0.00 1982483.00
1 48 0.00 2151350.12
1 49 0.00 1898471.66
1 50 0.00 2009375.04
1 51 0.00 2014897.12
1 52 0.00 2068859.27
1 53 0.00 2010958.33
1 54 0.00 2168424.77
1 55 0.00 1944731.33
1 56 0.00 1972394.51
1 57 0.00 2094402.81
1 58 0.00 1951787.62
1 59 0.00 1964119.08
1 60 0.00 2050920.05
1 61 0.00 1869286.39
1 62 0.00 2043057.43
1 63 0.00 2202975.50
1 64 0.00 1904000.96
1 65 0.00 2026362.38
1 66 0.00 2126137.15
1 67 0.00 1967223.49
1 68 0.00 1980642.39
1 69 0.00 2013218.38
1 70 0.00 2032032.19
1 71 0.00 2115160.45
1 72 0.00 1896707.22
1 73 0.00 1895853.89
1 74 0.00 2150151.70
