sim TrancheName FaceAmount($) Yield(%) WAL(%) DiscMarginBeq(%)
0 M1 375000000.00 2.67039 2.82898 1.61571
0 M2 375000000.00 6.26753 8.70525 4.48235
0 M1H 20667705.00 -0.00000 2.82898 -1.07069
0 M2H 20667705.00 0.00000 8.70525 -1.94642
0 BH 87926156.00 -1.62435 9.13491 -3.76605
1 M1 375000000.00 2.88536 3.88343 1.61831
1 M2 375000000.00 6.41091 9.78962 4.48640
1 M1H 20667705.00 -0.00000 3.88343 -1.29880
1 M2H 20667705.00 0.00000 9.78962 -2.11495
1 BH 87926156.00 -3.75377 8.68546 -5.89535
2 M1 375000000.00 2.86978 3.81813 1.61810
2 M2 375000000.00 6.40288 9.74266 4.48616
2 M1H 20667705.00 -0.00000 3.81813 -1.28190
2 M2H 20667705.00 0.00000 9.74266 -2.10495
2 BH 87926156.00 -2.70589 8.54190 -4.84753
3 M1 375000000.00 2.54121 2.15809 1.61442
3 M2 375000000.00 5.75963 5.06534 4.46886
3 M1H 20667705.00 -0.00000 2.15809 -0.94038
3 M2H 20667705.00 0.00000 5.06534 -1.34434
3 BH 87926156.00 -1.22771 7.96911 -3.00775
4 M1 375000000.00 2.60908 2.59161 1.61501
4 M2 375000000.00 6.31554 9.10521 4.48368
4 M1H 20667705.00 -0.00000 2.59161 -1.01037
4 M2H 20667705.00 0.00000 9.10521 -2.00142
4 BH 87926156.00 -1.43335 9.23300 -3.57505
5 M1 375000000.00 2.65261 2.73436 1.61550
5 M2 375000000.00 6.31075 9.08563 4.48354
5 M1H 20667705.00 -0.00000 2.73436 -1.05541
5 M2H 20667705.00 0.00000 9.08563 -1.99519
5 BH 87926156.00 -1.26820 9.32546 -3.40991
6 M1 375000000.00 2.77200 3.31862 1.61688
6 M2 375000000.00 6.37901 9.58136 4.48547
6 M1H 20667705.00 -0.00000 3.31862 -1.17880
6 M2H 20667705.00 0.00000 9.58136 -2.07604
6 BH 87926156.00 -1.46869 9.30293 -3.61039
7 M1 375000000.00 2.57573 2.31512 1.61472
7 M2 375000000.00 5.82758 5.90766 4.47047
7 M1H 20667705.00 -0.00000 2.31512 -0.97558
7 M2H 20667705.00 -0.00000 5.90766 -1.41806
7 BH 87926156.00 -1.66471 8.09911 -3.49023
8 M1 375000000.00 2.02153 1.18767 1.60874
8 M2 375000000.00 5.68533 4.30219 4.46714
8 M1H 20667705.00 -0.00000 1.18767 -0.41556
8 M2H 20667705.00 -0.00000 4.30219 -1.26641
8 BH 87926156.00 -0.99246 7.89657 -2.74353
9 M1 375000000.00 2.85538 3.73390 1.61792
9 M2 375000000.00 6.39316 9.68581 4.48588
9 M1H 20667705.00 -0.00000 3.73390 -1.26688
9 M2H 20667705.00 0.00000 9.68581 -2.09285
9 BH 87926156.00 -2.19947 8.96984 -4.34114
10 M1 375000000.00 2.77561 3.31847 1.61693
10 M2 375000000.00 6.37908 9.58389 4.48547
10 M1H 20667705.00 -0.00000 3.31847 -1.18278
10 M2H 20667705.00 0.00000 9.58389 -2.07604
10 BH 87926156.00 -1.41341 9.24258 -3.55511
11 M1 375000000.00 2.79193 3.38879 1.61714
11 M2 375000000.00 6.38884 9.64737 4.48576
11 M1H 20667705.00 -0.00000 3.38879 -1.20040
11 M2H 20667705.00 0.00000 9.64737 -2.08794
11 BH 87926156.00 -2.69110 8.87807 -4.83274
12 M1 375000000.00 2.46336 2.00537 1.61352
12 M2 375000000.00 5.97253 6.17275 4.47445
12 M1H 20667705.00 -0.00000 2.00537 -0.86167
12 M2H 20667705.00 0.00000 6.17275 -1.60614
12 BH 87926156.00 -1.15329 9.33319 -3.29500
13 M1 375000000.00 2.80841 3.56509 1.61730
13 M2 375000000.00 6.37375 9.55454 4.48532
13 M1H 20667705.00 -0.00000 3.56509 -1.21590
13 M2H 20667705.00 0.00000 9.55454 -2.06935
13 BH 87926156.00 -1.50209 9.20526 -3.64379
14 M1 375000000.00 2.83802 3.61480 1.61772
14 M2 375000000.00 6.40250 9.73762 4.48616
14 M1H 20667705.00 -0.00000 3.61480 -1.24904
14 M2H 20667705.00 0.00000 9.73762 -2.10457
14 BH 87926156.00 -3.65334 8.89284 -5.79493
15 M1 375000000.00 2.78678 3.42587 1.61702
15 M2 375000000.00 6.36516 9.49387 4.48507
15 M1H 20667705.00 -0.00000 3.42587 -1.19310
15 M2H 20667705.00 0.00000 9.49387 -2.05906
15 BH 87926156.00 -3.11888 8.62843 -5.26051
16 M1 375000000.00 2.87273 3.82686 1.61815
16 M2 375000000.00 6.40404 9.74945 4.48620
16 M1H 20667705.00 -0.00000 3.82686 -1.28515
16 M2H 20667705.00 0.00000 9.74945 -2.10639
16 BH 87926156.00 -1.98884 9.02536 -4.13052
17 M1 375000000.00 2.83560 3.60180 1.61769
17 M2 375000000.00 6.39895 9.71631 4.48605
17 M1H 20667705.00 -0.00000 3.60180 -1.24659
17 M2H 20667705.00 0.00000 9.71631 -2.10016
17 BH 87926156.00 -2.75222 8.70912 -4.89386
18 M1 375000000.00 2.43761 1.93833 1.61322
18 M2 375000000.00 5.70592 4.86363 4.46751
18 M1H 20667705.00 -0.00000 1.93833 -0.83550
18 M2H 20667705.00 0.00000 4.86363 -1.27984
18 BH 87926156.00 -1.55971 6.51034 -3.06643
19 M1 375000000.00 2.86045 3.76348 1.61799
19 M2 375000000.00 6.40281 9.74128 4.48616
19 M1H 20667705.00 -0.00000 3.76348 -1.27218
19 M2H 20667705.00 0.00000 9.74128 -2.10489
19 BH 87926156.00 -2.52516 8.90274 -4.66682
20 M1 375000000.00 2.83822 3.62211 1.61772
20 M2 375000000.00 6.39785 9.71019 4.48602
20 M1H 20667705.00 -0.00000 3.62211 -1.24914
20 M2H 20667705.00 0.00000 9.71019 -2.09879
20 BH 87926156.00 -2.15039 9.02992 -4.29206
21 M1 375000000.00 2.71154 2.99791 1.61619
21 M2 375000000.00 6.37189 9.52777 4.48527
21 M1H 20667705.00 -0.00000 2.99791 -1.11745
21 M2H 20667705.00 0.00000 9.52777 -2.06764
21 BH 87926156.00 -2.35717 8.99999 -4.49884
22 M1 375000000.00 2.83776 3.60409 1.61771
22 M2 375000000.00 6.39829 9.71258 4.48603
22 M1H 20667705.00 -0.00000 3.60409 -1.24875
22 M2H 20667705.00 0.00000 9.71258 -2.09934
22 BH 87926156.00 -2.24163 8.92869 -4.38330
23 M1 375000000.00 2.45405 1.93377 1.61337
23 M2 375000000.00 6.30963 9.01975 4.48353
23 M1H 20667705.00 -0.00000 1.93377 -0.85459
23 M2H 20667705.00 0.00000 9.01975 -1.99589
23 BH 87926156.00 -1.91858 9.03319 -4.06026
24 M1 375000000.00 2.88333 3.88598 1.61828
24 M2 375000000.00 6.40684 9.76674 4.48628
24 M1H 20667705.00 -0.00000 3.88598 -1.29637
24 M2H 20667705.00 0.00000 9.76674 -2.10985
24 BH 87926156.00 -2.48538 8.91941 -4.62703
25 M1 375000000.00 2.70652 2.92462 1.61613
25 M2 375000000.00 6.36375 9.47007 4.48504
25 M1H 20667705.00 -0.00000 2.92462 -1.11151
25 M2H 20667705.00 0.00000 9.47007 -2.05790
25 BH 87926156.00 -1.83259 9.10292 -3.97428
26 M1 375000000.00 2.56399 2.24633 1.61464
26 M2 375000000.00 5.71235 4.81510 4.46769
26 M1H 20667705.00 -0.00000 2.24633 -0.96336
26 M2H 20667705.00 0.00000 4.81510 -1.28889
26 BH 87926156.00 -1.36955 7.22255 -3.00637
27 M1 375000000.00 2.71717 3.09328 1.61621
27 M2 375000000.00 6.35063 9.36858 4.48467
27 M1H 20667705.00 -0.00000 3.09328 -1.12035
27 M2H 20667705.00 0.00000 9.36858 -2.04259
27 BH 87926156.00 -1.65766 9.18369 -3.79935
28 M1 375000000.00 2.83125 3.61579 1.61761
28 M2 375000000.00 6.34848 9.44902 4.48454
28 M1H 20667705.00 -0.00000 3.61579 -1.24134
28 M2H 20667705.00 0.00000 9.44902 -2.03643
28 BH 87926156.00 -1.88710 9.05372 -4.02879
29 M1 375000000.00 2.70654 3.05966 1.61608
29 M2 375000000.00 6.11818 7.93420 4.47810
29 M1H 20667705.00 -0.00000 3.05966 -1.10947
29 M2H 20667705.00 0.00000 7.93420 -1.75950
29 BH 87926156.00 -1.84752 9.08502 -3.98921
30 M1 375000000.00 2.69824 3.05301 1.61597
30 M2 375000000.00 6.29061 8.97087 4.48295
30 M1H 20667705.00 -0.00000 3.05301 -1.09979
30 M2H 20667705.00 0.00000 8.97087 -1.97015
30 BH 87926156.00 -2.50818 8.86673 -4.64984
31 M1 375000000.00 2.82308 3.64417 1.61747
31 M2 375000000.00 6.30680 9.16170 4.48336
31 M1H 20667705.00 -0.00000 3.64417 -1.23134
31 M2H 20667705.00 0.00000 9.16170 -1.98628
31 BH 87926156.00 -1.51594 9.19122 -3.65763
32 M1 375000000.00 2.59327 2.38987 1.61493
32 M2 375000000.00 6.08862 7.13648 4.47753
32 M1H 20667705.00 -0.00000 2.38987 -0.99298
32 M2H 20667705.00 0.00000 7.13648 -1.74255
32 BH 87926156.00 -1.30037 9.25864 -3.44207
33 M1 375000000.00 2.77696 3.34578 1.61694
33 M2 375000000.00 6.37854 9.57867 4.48546
33 M1H 20667705.00 -0.00000 3.34578 -1.18389
33 M2H 20667705.00 0.00000 9.57867 -2.07544
33 BH 87926156.00 -3.44854 8.69094 -5.59014
34 M1 375000000.00 2.86404 3.78684 1.61803
34 M2 375000000.00 6.40134 9.73367 4.48612
34 M1H 20667705.00 -0.00000 3.78684 -1.27585
34 M2H 20667705.00 0.00000 9.73367 -2.10303
34 BH 87926156.00 -1.65962 9.14169 -3.80131
35 M1 375000000.00 2.39566 1.87917 1.61273
35 M2 375000000.00 6.22287 8.17782 4.48117
35 M1H 20667705.00 -0.00000 1.87917 -0.79316
35 M2H 20667705.00 0.00000 8.17782 -1.89866
35 BH 87926156.00 -1.35723 9.25714 -3.49893
36 M1 375000000.00 2.79809 3.45126 1.61719
36 M2 375000000.00 6.38055 9.59791 4.48551
36 M1H 20667705.00 -0.00000 3.45126 -1.20617
36 M2H 20667705.00 0.00000 9.59791 -2.07767
36 BH 87926156.00 -1.43069 9.24905 -3.57239
37 M1 375000000.00 2.81445 3.54266 1.61741
37 M2 375000000.00 6.38859 9.65336 4.48575
37 M1H 20667705.00 -0.00000 3.54266 -1.22364
37 M2H 20667705.00 0.00000 9.65336 -2.08736
37 BH 87926156.00 -2.29429 8.98121 -4.43595
38 M1 375000000.00 2.76244 3.19627 1.61680
38 M2 375000000.00 6.38242 9.60401 4.48557
38 M1H 20667705.00 -0.00000 3.19627 -1.17036
38 M2H 20667705.00 0.00000 9.60401 -2.08017
38 BH 87926156.00 -2.09739 9.03996 -4.23906
39 M1 375000000.00 2.83159 3.59832 1.61762
39 M2 375000000.00 6.39325 9.67992 4.48588
39 M1H 20667705.00 -0.00000 3.59832 -1.24188
39 M2H 20667705.00 0.00000 9.67992 -2.09317
39 BH 87926156.00 -1.70966 9.17916 -3.85135
40 M1 375000000.00 2.83519 3.61330 1.61767
40 M2 375000000.00 6.39455 9.68803 4.48592
40 M1H 20667705.00 -0.00000 3.61330 -1.24559
40 M2H 20667705.00 0.00000 9.68803 -2.09478
40 BH 87926156.00 -1.48220 9.24132 -3.62390
41 M1 375000000.00 2.84798 3.71723 1.61782
41 M2 375000000.00 6.38764 9.64964 4.48572
41 M1H 20667705.00 -0.00000 3.71723 -1.25866
41 M2H 20667705.00 0.00000 9.64964 -2.08611
41 BH 87926156.00 -1.90395 9.03412 -4.04563
42 M1 375000000.00 2.62880 2.65025 1.61523
42 M2 375000000.00 6.32638 9.18370 4.48399
42 M1H 20667705.00 -0.00000 2.65025 -1.03071
42 M2H 20667705.00 0.00000 9.18370 -2.01428
42 BH 87926156.00 -2.25749 8.89222 -4.39916
43 M1 375000000.00 2.86222 3.74630 1.61802
