sim TrancheName FaceAmount($) Yield(%) WAL(%) DiscMarginBeq(%)
500 M1 375000000.00 2.65521 2.77492 1.61552
500 M2 375000000.00 6.28833 8.90863 4.48291
500 M1H 20667705.00 -0.00000 2.77492 -1.05652
500 M2H 20667705.00 0.00000 8.90863 -1.96923
500 BH 87926156.00 -1.86293 9.08832 -4.00462
501 M1 375000000.00 3.30599 5.05813 1.62499
501 M2 375000000.00 -0.48368 7.68634 -2.40780
501 M1H 20667705.00 -0.00000 5.05813 -1.77308
501 M2H 20667705.00 -7.25018 7.68634 -9.39145
501 BH 87926156.00 9999999.00000 3.30206 99999.99000
